"family","genus","species","taxon","habitat","feeding.mode","tl","offspring.size","spawning.type","age.maturity","fecundity","length.infinity","growth.coefficient","length.max","age.max"
"Gobiesocidae","Lepadogaster","lepadogaster","Lepadogaster lepadogaster","demersal","benthivorous",2.78,1.85,"guarder",NA,195,4,0.79,7,5
"Gobiesocidae","Lepadogaster","","Lepadogaster","demersal","benthivorous",2.78,1.53,"guarder",NA,195,4,0.79,7,5
"Gobiidae","Aphia","minuta","Aphia minuta","benthopelagic","planktivorous",3.1,0.34,"guarder",0.6,1792,5,2.23,8,0.7
"Gobiidae","Awaous","commersoni","Awaous commersoni","demersal","planktivorous",3.31,1.96,"guarder",2,3500,10,0.43,25,5
"Gobiidae","Buenia","jeffreysii","Buenia jeffreysii","demersal","benthivorous",3.62,1.04,"guarder",1.2,4513,9,0.93,6,2.8
"Gobiidae","Crystallogobius","linearis","Crystallogobius linearis","demersal","planktivorous",3.4,1.35,"guarder",0.4,3000,5,0.97,5,1
"Gobiidae","Deltentosteus","quadrimaculatus","Deltentosteus quadrimaculatus","demersal","benthivorous",3.1,1.04,"guarder",1.2,4513,12,0.48,9,5
"Gobiidae","Gobius","gasteveni","Gobius gasteveni","demersal","benthivorous",3.3,1.96,"guarder",2,4739,10,0.43,12,5
"Gobiidae","Gobius","niger","Gobius niger","demersal","benthivorous",3.31,1.5,"guarder",2,3500,10,0.43,15,5
"Gobiidae","Gobius","paganellus","Gobius paganellus","demersal","benthivorous",3.3,2.42,"guarder",1.5,3076,12,0.41,13,10
"Gobiidae","Gobius","","Gobius","demersal","benthivorous",3.28,1.96,"guarder",1.5,4739,15,0.35,23,6
"Gobiidae","Gobiusculus","flavescens","Gobiusculus flavescens","demersal","benthivorous",3.18,1,"guarder",1,5016,7,0.94,6,2
"Gobiidae","Lesueurigobius","friesii","Lesueurigobius friesii","demersal","benthivorous",3.55,1.8,"guarder",2,6500,7,0.7,9,11
"Gobiidae","Lesueurigobius","sanzi","Lesueurigobius sanzi","demersal","benthivorous",3.55,1.8,"guarder",2,6500,7,0.7,11,2.8
"Gobiidae","Lesueurigobius","suerii","Lesueurigobius suerii","demersal","benthivorous",3.55,1.8,"guarder",2,6500,7,0.7,6,2.8
"Gobiidae","Lesueurigobius","","Lesueurigobius","demersal","benthivorous",3.55,1.8,"guarder",2,6500,7,0.7,9,2.8
"Gobiidae","Neogobius","melanostomus","Neogobius melanostomus","demersal","benthivorous",3.3,0.89,"guarder",2,2650,16,0.26,25,6
"Gobiidae","Pomatoschistus","lozanoi","Pomatoschistus lozanoi","demersal","generalist",3.13,1,"guarder",1,1003,9,0.89,8,2
"Gobiidae","Pomatoschistus","microps","Pomatoschistus microps","demersal","benthivorous",3.29,1.16,"guarder",1,3517,11,0.29,5,3
